Landtagswahl JJJJ; Wahldatum: JJJJ-MM-TT; Stand: 03.07.2023 13:15:10
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;SPD Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FDP Wahlkreisstimmen;AfD Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;NPD Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Graue Panther Wahlkreisstimmen;BüSo Wahlkreisstimmen;AD-Demokraten Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;BGE Wahlkreisstimmen;DIE VIOLETTEN Wahlkreisstimmen;LKR Wahlkreisstimmen;MENSCHLICHE WELT Wahlkreisstimmen;Die Humanisten Wahlkreisstimmen;Gesundheitsforschung Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;APPD (WK 13) Wahlkreisstimmen;DiB (WK 3) Wahlkreisstimmen;NEV (WK 44) Wahlkreisstimmen;ÖkoLinX He (WK 22) Wahlkreisstimmen;CDU Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);NPD Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Graue Panther Wahlkreisstimmen (%);BüSo Wahlkreisstimmen (%);AD-Demokraten Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);BGE Wahlkreisstimmen (%);DIE VIOLETTEN Wahlkreisstimmen (%);LKR Wahlkreisstimmen (%);MENSCHLICHE WELT Wahlkreisstimmen (%);Die Humanisten Wahlkreisstimmen (%);Gesundheitsforschung Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);APPD (WK 13) Wahlkreisstimmen (%);DiB (WK 3) Wahlkreisstimmen (%);NEV (WK 44) Wahlkreisstimmen (%);ÖkoLinX He (WK 22) Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;SPD Landesstimmen;GRÜNE Landesstimmen;DIE LINKE Landesstimmen;FDP Landesstimmen;AfD Landesstimmen;PIRATEN Landesstimmen;FREIE WÄHLER Landesstimmen;NPD Landesstimmen;Die PARTEI Landesstimmen;ÖDP Landesstimmen;Graue Panther Landesstimmen;BüSo Landesstimmen;AD-Demokraten Landesstimmen;Bündnis C Landesstimmen;BGE Landesstimmen;DIE VIOLETTEN Landesstimmen;LKR Landesstimmen;MENSCHLICHE WELT Landesstimmen;Die Humanisten Landesstimmen;Gesundheitsforschung Landesstimmen;Tierschutzpartei Landesstimmen;V-Partei³ Landesstimmen;APPD (WK 13) Landesstimmen;DiB (WK 3) Landesstimmen;NEV (WK 44) Landesstimmen;ÖkoLinX He (WK 22) Landesstimmen;CDU Landesstimmen (%);SPD Landesstimmen (%);GRÜNE Landesstimmen (%);DIE LINKE Landesstimmen (%);FDP Landesstimmen (%);AfD Landesstimmen (%);PIRATEN Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);NPD Landesstimmen (%);Die PARTEI Landesstimmen (%);ÖDP Landesstimmen (%);Graue Panther Landesstimmen (%);BüSo Landesstimmen (%);AD-Demokraten Landesstimmen (%);Bündnis C Landesstimmen (%);BGE Landesstimmen (%);DIE VIOLETTEN Landesstimmen (%);LKR Landesstimmen (%);MENSCHLICHE WELT Landesstimmen (%);Die Humanisten Landesstimmen (%);Gesundheitsforschung Landesstimmen (%);Tierschutzpartei Landesstimmen (%);V-Partei³ Landesstimmen (%);APPD (WK 13) Landesstimmen (%);DiB (WK 3) Landesstimmen (%);NEV (WK 44) Landesstimmen (%);ÖkoLinX He (WK 22) Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
02343400200;"Friedrichsdorf, Stadt";"SB";00010;"Kita, Rodheimer Str. 22";1351;1042;309;0;765;5;;;16;749;2,1;97,9;278;120;199;11;70;61;10;;;;;;;;;;;;;;;;;;;;;37,1;16,0;26,6;1,5;9,3;8,1;1,3;;;;;;;;;;;;;;;;;;;;;12;753;1,6;98,4;243;99;206;14;89;58;5;20;2;4;3;0;0;1;0;1;0;0;0;1;3;4;0;;;;;32,3;13,1;27,4;1,9;11,8;7,7;0,7;2,7;0,3;0,5;0,4;0,0;0,0;0,1;0,0;0,1;0,0;0,0;0,0;0,1;0,4;0,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";00011;"Alte Schule, Herrenhofstr. 1 (WBZ 11)";1052;856;196;0;610;1;;;13;597;2,1;97,9;197;83;180;23;48;64;2;;;;;;;;;;;;;;;;;;;;;33,0;13,9;30,2;3,9;8,0;10,7;0,3;;;;;;;;;;;;;;;;;;;;;10;600;1,6;98,4;170;66;196;25;50;68;3;16;0;2;0;0;0;0;0;0;1;0;0;0;0;3;0;;;;;28,3;11,0;32,7;4,2;8,3;11,3;0,5;2,7;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";00012;"Alte Schule, Herrenhofstr. 1 (WBZ 12)";824;653;171;0;451;0;;;11;440;2,4;97,6;154;56;124;28;35;39;4;;;;;;;;;;;;;;;;;;;;;35,0;12,7;28,2;6,4;8,0;8,9;0,9;;;;;;;;;;;;;;;;;;;;;10;441;2,2;97,8;120;54;134;26;42;41;2;8;0;2;2;0;0;0;1;1;1;0;0;0;1;6;0;;;;;27,2;12,2;30,4;5,9;9,5;9,3;0,5;1,8;0,0;0,5;0,5;0,0;0,0;0,0;0,2;0,2;0,2;0,0;0,0;0,0;0,2;1,4;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";00013;"Grundschule, Landwehrstr. 6 (WBZ 13)";899;737;162;0;431;0;;;10;421;2,3;97,7;130;97;81;26;41;46;0;;;;;;;;;;;;;;;;;;;;;30,9;23,0;19,2;6,2;9,7;10,9;0,0;;;;;;;;;;;;;;;;;;;;;7;424;1,6;98,4;122;87;86;30;40;41;0;9;1;1;0;0;0;0;2;1;1;0;0;0;0;3;0;;;;;28,8;20,5;20,3;7,1;9,4;9,7;0,0;2,1;0,2;0,2;0,0;0,0;0,0;0,0;0,5;0,2;0,2;0,0;0,0;0,0;0,0;0,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";00014;"Grundschule, Landwehrstr. 6 (WBZ 14)";951;753;198;0;446;1;;;12;434;2,7;97,3;156;67;101;24;39;40;7;;;;;;;;;;;;;;;;;;;;;35,9;15,4;23,3;5,5;9,0;9,2;1,6;;;;;;;;;;;;;;;;;;;;;10;436;2,2;97,8;151;59;92;26;42;46;1;10;0;3;1;2;0;0;0;0;0;0;0;0;0;3;0;;;;;34,6;13,5;21,1;6,0;9,6;10,6;0,2;2,3;0,0;0,7;0,2;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";00015;"Kinderhaus, Marc-Aurel-Ring 42";1076;837;239;0;650;2;;;2;648;0,3;99,7;215;104;171;28;56;72;2;;;;;;;;;;;;;;;;;;;;;33,2;16,0;26,4;4,3;8,6;11,1;0,3;;;;;;;;;;;;;;;;;;;;;3;647;0,5;99,5;202;94;166;27;61;68;1;14;0;2;2;1;0;1;1;1;0;0;0;0;0;5;1;;;;;31,2;14,5;25,7;4,2;9,4;10,5;0,2;2,2;0,0;0,3;0,3;0,2;0,0;0,2;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,8;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";90001;"Briefwahl I Friedrichsdorf";0;0;0;0;627;627;;;7;620;1,1;98,9;220;102;154;22;63;52;7;;;;;;;;;;;;;;;;;;;;;35,5;16,5;24,8;3,5;10,2;8,4;1,1;;;;;;;;;;;;;;;;;;;;;4;623;0,6;99,4;194;89;149;34;71;53;3;10;0;5;2;0;1;1;1;1;1;0;0;1;2;5;0;;;;;31,1;14,3;23,9;5,5;11,4;8,5;0,5;1,6;0,0;0,8;0,3;0,0;0,2;0,2;0,2;0,2;0,2;0,0;0,0;0,2;0,3;0,8;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";90002;"Briefwahl II Friedrichsdorf";0;0;0;0;530;530;;;6;524;1,1;98,9;199;82;125;23;49;43;3;;;;;;;;;;;;;;;;;;;;;38,0;15,6;23,9;4,4;9,4;8,2;0,6;;;;;;;;;;;;;;;;;;;;;6;524;1,1;98,9;184;75;126;25;53;42;1;5;2;2;2;0;0;1;0;0;0;0;0;0;0;6;0;;;;;35,1;14,3;24,0;4,8;10,1;8,0;0,2;1,0;0,4;0,4;0,4;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";90003;"Briefwahl III Köppern";0;0;0;0;708;708;;;7;701;1,0;99,0;262;116;139;31;61;82;10;;;;;;;;;;;;;;;;;;;;;37,4;16,5;19,8;4,4;8,7;11,7;1,4;;;;;;;;;;;;;;;;;;;;;7;701;1,0;99,0;240;102;142;31;60;87;8;10;2;1;1;1;0;0;1;2;0;1;0;1;0;11;0;;;;;34,2;14,6;20,3;4,4;8,6;12,4;1,1;1,4;0,3;0,1;0,1;0,1;0,0;0,0;0,1;0,3;0,0;0,1;0,0;0,1;0,0;1,6;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";90004;"Briefwahl IV Burgholzhausen";0;0;0;0;504;504;;;5;499;1,0;99,0;207;73;109;20;32;51;7;;;;;;;;;;;;;;;;;;;;;41,5;14,6;21,8;4,0;6,4;10,2;1,4;;;;;;;;;;;;;;;;;;;;;3;501;0,6;99,4;189;66;116;20;35;55;6;8;0;1;1;0;0;0;0;0;0;0;0;1;0;3;0;;;;;37,7;13,2;23,2;4,0;7,0;11,0;1,2;1,6;0,0;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,6;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";90005;"Briefwahl V Seulberg";0;0;0;0;505;505;;;6;499;1,2;98,8;191;85;97;16;49;56;5;;;;;;;;;;;;;;;;;;;;;38,3;17,0;19,4;3,2;9,8;11,2;1,0;;;;;;;;;;;;;;;;;;;;;3;502;0,6;99,4;181;78;94;20;50;58;3;9;3;0;1;0;0;0;0;0;0;0;0;0;0;4;1;;;;;36,1;15,5;18,7;4,0;10,0;11,6;0,6;1,8;0,6;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400200;"Friedrichsdorf, Stadt";"SB";90006;"Briefwahl VI Seulberg";0;0;0;0;403;403;;;6;397;1,5;98,5;148;64;87;16;37;41;4;;;;;;;;;;;;;;;;;;;;;37,3;16,1;21,9;4,0;9,3;10,3;1,0;;;;;;;;;;;;;;;;;;;;;5;398;1,2;98,8;135;57;82;15;41;43;1;9;0;3;2;0;0;0;4;0;0;2;0;0;0;4;0;;;;;33,9;14,3;20,6;3,8;10,3;10,8;0,3;2,3;0,0;0,8;0,5;0,0;0,0;0,0;1,0;0,0;0,0;0,5;0,0;0,0;0,0;1,0;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400400;"Grävenwiesbach";"SB";00001;"Bürgerhaus Grävenwiesbach";1154;845;309;0;508;0;;;12;496;2,4;97,6;157;95;83;21;51;78;11;;;;;;;;;;;;;;;;;;;;;31,7;19,2;16,7;4,2;10,3;15,7;2,2;;;;;;;;;;;;;;;;;;;;;10;498;2,0;98,0;141;92;76;24;45;80;4;23;2;2;0;0;0;1;1;0;2;0;0;0;1;3;1;;;;;28,3;18,5;15,3;4,8;9,0;16,1;0,8;4,6;0,4;0,4;0,0;0,0;0,0;0,2;0,2;0,0;0,4;0,0;0,0;0,0;0,2;0,6;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400400;"Grävenwiesbach";"SB";00002;"Kindergarten Grävenwiesbach";523;438;85;0;193;0;;;5;188;2,6;97,4;45;38;30;8;20;43;4;;;;;;;;;;;;;;;;;;;;;23,9;20,2;16,0;4,3;10,6;22,9;2,1;;;;;;;;;;;;;;;;;;;;;8;185;4,1;95,9;32;35;29;9;20;44;0;9;0;0;0;0;1;1;0;0;0;0;0;0;1;4;0;;;;;17,3;18,9;15,7;4,9;10,8;23,8;0,0;4,9;0,0;0,0;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,5;2,2;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400400;"Grävenwiesbach";"SB";00003;"Altes Rathaus Hundstadt";634;530;104;0;366;0;;;6;360;1,6;98,4;136;56;57;20;21;67;3;;;;;;;;;;;;;;;;;;;;;37,8;15,6;15,8;5,6;5,8;18,6;0,8;;;;;;;;;;;;;;;;;;;;;10;356;2,7;97,3;107;48;61;17;28;72;3;12;0;1;0;0;0;0;0;0;0;0;0;1;0;6;0;;;;;30,1;13,5;17,1;4,8;7,9;20,2;0,8;3,4;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;1,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400400;"Grävenwiesbach";"SB";00004;"Dorfgemeinschaftshaus, Laubach";489;380;109;0;239;0;;;12;227;5,0;95,0;60;61;35;15;17;35;4;;;;;;;;;;;;;;;;;;;;;26,4;26,9;15,4;6,6;7,5;15,4;1,8;;;;;;;;;;;;;;;;;;;;;8;231;3,3;96,7;48;57;38;10;13;42;0;15;2;1;0;0;0;0;0;0;1;0;0;0;0;4;0;;;;;20,8;24,7;16,5;4,3;5,6;18,2;0,0;6,5;0,9;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;1,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400400;"Grävenwiesbach";"SB";00005;"Dorfgemeinschaftshaus Mönstadt";321;278;43;0;203;1;;;4;199;2,0;98,0;70;30;40;14;7;36;2;;;;;;;;;;;;;;;;;;;;;35,2;15,1;20,1;7,0;3,5;18,1;1,0;;;;;;;;;;;;;;;;;;;;;3;200;1,5;98,5;56;26;42;20;9;34;0;8;0;2;0;1;0;0;0;0;0;0;0;0;1;1;0;;;;;28,0;13,0;21,0;10,0;4,5;17,0;0,0;4,0;0,0;1,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400400;"Grävenwiesbach";"SB";00006;"Dorfgemeinschaftshaus Naunstadt";313;241;72;0;171;0;;;4;167;2,3;97,7;53;25;34;12;14;28;1;;;;;;;;;;;;;;;;;;;;;31,7;15,0;20,4;7,2;8,4;16,8;0,6;;;;;;;;;;;;;;;;;;;;;2;169;1,2;98,8;38;24;35;6;20;32;0;7;0;3;0;0;0;0;2;0;0;0;0;1;0;1;0;;;;;22,5;14,2;20,7;3,6;11,8;18,9;0,0;4,1;0,0;1,8;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,6;0,0;0,6;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400400;"Grävenwiesbach";"SB";00007;"Dorfgemeinschaftshaus Heinzenberg";327;276;51;0;196;0;;;5;191;2,6;97,4;44;39;34;11;18;45;0;;;;;;;;;;;;;;;;;;;;;23,0;20,4;17,8;5,8;9,4;23,6;0,0;;;;;;;;;;;;;;;;;;;;;2;194;1,0;99,0;41;39;36;11;14;43;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;;;;21,1;20,1;18,6;5,7;7,2;22,2;0,0;4,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400400;"Grävenwiesbach";"SB";90001;"Briefwahl";0;0;0;0;730;730;;;12;718;1,6;98,4;272;125;127;39;48;99;8;;;;;;;;;;;;;;;;;;;;;37,9;17,4;17,7;5,4;6,7;13,8;1,1;;;;;;;;;;;;;;;;;;;;;9;721;1,2;98,8;234;122;129;37;61;94;4;19;4;0;1;1;0;0;0;3;0;0;0;1;1;10;0;;;;;32,5;16,9;17,9;5,1;8,5;13,0;0,6;2,6;0,6;0,0;0,1;0,1;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,1;0,1;1,4;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00001;"Rathaus, Trauzimmer, Bahnhofstraße 26";995;779;216;0;458;2;;;15;443;3,3;96,7;153;80;64;33;45;62;6;;;;;;;;;;;;;;;;;;;;;34,5;18,1;14,4;7,4;10,2;14,0;1,4;;;;;;;;;;;;;;;;;;;;;9;449;2,0;98,0;120;82;64;35;44;74;7;6;3;5;1;0;0;0;0;1;0;0;1;2;1;3;0;;;;;26,7;18,3;14,3;7,8;9,8;16,5;1,6;1,3;0,7;1,1;0,2;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,2;0,4;0,2;0,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00002;"Besprechungsraum Anspach, Bahnhofstraße 26";919;677;242;0;446;0;;;12;434;2,7;97,3;166;74;77;21;49;45;2;;;;;;;;;;;;;;;;;;;;;38,2;17,1;17,7;4,8;11,3;10,4;0,5;;;;;;;;;;;;;;;;;;;;;10;436;2,2;97,8;137;79;85;17;43;50;2;11;0;3;0;1;0;0;2;1;2;0;0;0;0;3;0;;;;;31,4;18,1;19,5;3,9;9,9;11,5;0,5;2,5;0,0;0,7;0,0;0,2;0,0;0,0;0,5;0,2;0,5;0,0;0,0;0,0;0,0;0,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00003;"Adolf-Reichwein-Schule, Wiesenau 30";986;768;218;0;466;0;;;4;462;0,9;99,1;164;78;79;23;54;57;7;;;;;;;;;;;;;;;;;;;;;35,5;16,9;17,1;5,0;11,7;12,3;1,5;;;;;;;;;;;;;;;;;;;;;5;461;1,1;98,9;119;82;87;21;56;56;3;24;1;2;2;0;0;0;1;2;1;0;0;2;0;2;0;;;;;25,8;17,8;18,9;4,6;12,1;12,1;0,7;5,2;0,2;0,4;0,4;0,0;0,0;0,0;0,2;0,4;0,2;0,0;0,0;0,4;0,0;0,4;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00004;"Kita VzF Mini-Mitte, Gustav-Heinemann-Straße 7";942;733;209;0;554;0;;;13;541;2,3;97,7;210;106;117;20;39;46;3;;;;;;;;;;;;;;;;;;;;;38,8;19,6;21,6;3,7;7,2;8,5;0,6;;;;;;;;;;;;;;;;;;;;;13;541;2,3;97,7;156;120;113;22;48;50;0;16;0;1;3;0;1;1;0;0;0;0;1;1;0;8;0;;;;;28,8;22,2;20,9;4,1;8,9;9,2;0,0;3,0;0,0;0,2;0,6;0,0;0,2;0,2;0,0;0,0;0,0;0,0;0,2;0,2;0,0;1,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00005;"Adolf-Reichwein-Schule, Wiesenau 30";875;671;204;0;428;0;;;7;421;1,6;98,4;150;76;85;24;36;41;9;;;;;;;;;;;;;;;;;;;;;35,6;18,1;20,2;5,7;8,6;9,7;2,1;;;;;;;;;;;;;;;;;;;;;9;419;2,1;97,9;110;77;98;23;39;42;6;10;1;4;0;3;0;0;0;0;0;1;0;0;0;5;0;;;;;26,3;18,4;23,4;5,5;9,3;10,0;1,4;2,4;0,2;1,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;1,2;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00006;"Bürgerhaus, Vielphonraum, G.-Heinemann-Str. 3";1070;844;226;0;568;0;;;5;563;0,9;99,1;221;101;110;41;32;53;5;;;;;;;;;;;;;;;;;;;;;39,3;17,9;19,5;7,3;5,7;9,4;0,9;;;;;;;;;;;;;;;;;;;;;2;566;0,4;99,6;167;104;139;35;34;57;2;8;0;4;5;2;0;0;2;0;0;0;0;1;2;3;1;;;;;29,5;18,4;24,6;6,2;6,0;10,1;0,4;1,4;0,0;0,7;0,9;0,4;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,2;0,4;0,5;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00007;"Bürgerhaus, Kl. Saal, G.-Heinemann-Str. 3";1384;1146;238;0;805;0;;;20;785;2,5;97,5;264;124;189;42;50;100;16;;;;;;;;;;;;;;;;;;;;;33,6;15,8;24,1;5,4;6,4;12,7;2,0;;;;;;;;;;;;;;;;;;;;;10;795;1,2;98,8;196;117;201;45;50;107;6;34;0;8;3;0;0;0;1;4;1;0;2;2;1;17;0;;;;;24,7;14,7;25,3;5,7;6,3;13,5;0,8;4,3;0,0;1,0;0,4;0,0;0,0;0,0;0,1;0,5;0,1;0,0;0,3;0,3;0,1;2,1;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00008;"Grundschule Am Hasenberg, Goldammerweg 2";785;577;208;0;458;0;;;10;448;2,2;97,8;187;69;105;20;27;38;2;;;;;;;;;;;;;;;;;;;;;41,7;15,4;23,4;4,5;6,0;8,5;0,4;;;;;;;;;;;;;;;;;;;;;7;451;1,5;98,5;137;76;121;21;38;45;1;8;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;;;;;30,4;16,9;26,8;4,7;8,4;10,0;0,2;1,8;0,0;0,0;0,2;0,2;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00009;"Evangelischer Kindergarten, Hauptstr. 69";1091;852;239;0;560;3;;;14;546;2,5;97,5;227;85;96;29;44;59;6;;;;;;;;;;;;;;;;;;;;;41,6;15,6;17,6;5,3;8,1;10,8;1,1;;;;;;;;;;;;;;;;;;;;;12;548;2,1;97,9;156;87;125;26;53;68;2;15;0;3;6;0;0;0;1;0;1;0;0;0;0;4;1;;;;;28,5;15,9;22,8;4,7;9,7;12,4;0,4;2,7;0,0;0,5;1,1;0,0;0,0;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,0;0,7;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00010;"Dorfgemeinschaftshaus, Höhenstraße 1";549;458;91;0;337;1;;;10;327;3,0;97,0;112;58;66;14;27;42;8;;;;;;;;;;;;;;;;;;;;;34,3;17,7;20,2;4,3;8,3;12,8;2,4;;;;;;;;;;;;;;;;;;;;;10;327;3,0;97,0;69;55;82;25;26;49;3;6;0;1;0;0;0;0;0;0;0;1;0;1;2;6;1;;;;;21,1;16,8;25,1;7,6;8,0;15,0;0,9;1,8;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,3;0,6;1,8;0,3;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";00011;"Tanzzentrum Grün-Gelb, Kransberger Straße 11";1113;889;224;0;644;0;;;12;632;1,9;98,1;209;118;117;37;56;88;7;;;;;;;;;;;;;;;;;;;;;33,1;18,7;18,5;5,9;8,9;13,9;1,1;;;;;;;;;;;;;;;;;;;;;10;634;1,6;98,4;170;108;138;32;52;86;6;21;2;6;1;0;0;0;2;1;1;0;1;0;1;5;1;;;;;26,8;17,0;21,8;5,0;8,2;13,6;0,9;3,3;0,3;0,9;0,2;0,0;0,0;0,0;0,3;0,2;0,2;0,0;0,2;0,0;0,2;0,8;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";90001;"Briefwahlbezirk 1";0;0;0;0;1118;1118;;;27;1091;2,4;97,6;414;168;183;75;102;140;9;;;;;;;;;;;;;;;;;;;;;37,9;15,4;16,8;6,9;9,3;12,8;0,8;;;;;;;;;;;;;;;;;;;;;19;1099;1,7;98,3;324;170;214;65;116;146;4;27;0;4;3;2;0;0;1;0;2;0;1;1;2;14;3;;;;;29,5;15,5;19,5;5,9;10,6;13,3;0,4;2,5;0,0;0,4;0,3;0,2;0,0;0,0;0,1;0,0;0,2;0,0;0,1;0,1;0,2;1,3;0,3;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
02343400700;"Neu-Anspach, Stadt";"SB";90002;"Briefwahlbezirk 2";0;0;0;0;1078;1078;;;13;1065;1,2;98,8;428;194;149;65;99;118;12;;;;;;;;;;;;;;;;;;;;;40,2;18,2;14,0;6,1;9,3;11,1;1,1;;;;;;;;;;;;;;;;;;;;;12;1066;1,1;98,9;316;209;194;61;112;129;3;15;0;4;2;2;0;0;0;4;0;0;0;0;1;14;0;;;;;29,6;19,6;18,2;5,7;10,5;12,1;0,3;1,4;0,0;0,4;0,2;0,2;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,1;1,3;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
